,제품명-설명
42,너브내 로제 스파클링 - 씨가 없는 3배체 적포도로 양조하여 황홀한 장밋빛 와인
43,너브내 스파클링 화이트와인 - 국내최초 샤르마방식으로 만든 스파클링와인
44,"크라테 화이트와인 - 찾아가는 양조장(2020년), 유기농 빈티지 와인"
45,"크라테 자두와인 - 찾아가는 양조장(2020년), 유기농 빈티지 와인"
46,"크라테 레드 미디엄 드라이 - 찾아가는 양조장(2020년), 유기농 빈티지 와인"
47,"하미앙 드라이 와인 - 찾아가는 양조장(2021년), 와인의 귀족, 산머루와인 깊은맛 드라이"
48,"하미앙 스위트 와인 - 찾아가는 양조장(2021년), 와인의 귀족, 산머루와인 달콤스위트"
49,산막와인 아로퓨어 드라이 레드 - 숲속 내음을 느끼다.
50,산막와인 미 스위트 레드 - 청포도 레드와인
51,"고도리 로제와인 - 찾아가는 양조장(2018년), 신지식인 제466호"
52,"고도리 아이스 와인 - 찾아가는 양조장(2018년), 신지식인 제466호"
53,샤토미소 웨딩 자두와인 - 찾아가는 양조장(2019년)
54,"붉은진주 머루와인 드라이 - 엄선된 머루원료의 사용과 붉은 선홍빛을 가장 잘 발하며, 언제나 깔끔한 맛"
55,"붉은진주 머루와인 스위트 - 엄선된 머루원료의 사용과 붉은 선홍빛을 가장 잘 발하며, 언제나 깔끔한 맛"
56,산막와인 라라 드라이 화이트 - 즐겁고 흥겨운 화이트와인
57,산막와인 화몽 드라이 레드 - 산막와이너리의 첫 와인
58,"산막와이너리, 비원 - 찾아가는 양조장(2022년), 산머루와 캠벨의 이상정인 조화로 탄생한 블렌디드 레드와인입니다."
59,"산막와이너리, 비원퓨어 - 세계속의 자랑스런 한국와인"
60,"고도리 샤인머스캣 와인 - 찾아가는 양조장(2018년), 신지식인 제466호"
61,설레 7도 - 연인 사이 설레는 감정을 살포시 넣은 세상 부드럽고 달콤한 맛
62,소풍 - 어렸을적 소풍가기전날의 행복한 떨림을 담은 술
63,도갓집 생막걸리
64,서울효모방 탁주 단홍 - 붉은색 에너지를 가득 담은 과감하고 새로운 탁주
65,서울효모방 탁주 온섶 - 추운 겨울 뜨겁게 마실 수 있는 익숙하면서도 낯선 술
66,"양주골이가 전통주 이화주 - 경기도 양주 지역특산주, 배꽃이 필 무렾 빚는 술 ""양주골이가전통주 이화주"""
67,별산 - 상큼함과 부드러운 감칠맛이 일품인 프리미엄 막걸리
68,"역전주 - 100년을 향하는 역전회관의 시간, 그 시간이 빚는 수제전통주, 역전주 (handcrafted natural rice wine)"
69,보은주 - 보은주는 항아리에서 6개월간 저온 발효 숙성하는 프리미엄 탁주입니다.
70,선희주 - 술을 베푸는 기쁨 이라는 의미를 담고 있습니다.
71,청혼 화이트 - 달콤한 사랑이 첫눈에 녹아내리다.
72,화천용화산
73,북한강25 - 금강산에서 내려와 북한강과 만나는 남과 북의 평화의 술
74,산천어 생막걸리
75,화전일취 - 님도 꽃이요. 꽃도 꽃이니 꽃 앞에서 함께 취하리.
76,밀담 40 - 세 번 증류하여 순하고 맛있는 술
77,감천막걸리 - 달보드레한 우유막걸리
78,"과천미주 - 맑은 샘물처럼 감미롭게, 하루의 피로를 씻는 우아한 홈술"
79,금풍양조 - 찾아가는 양조장(2022년)
80,연꽃 담은 술 - 임금누룩으로 세 번 빚은 와인 같은 꽃막걸리
81,일곱쌀 - 하얗고 찰진 백진주쌀로 빚어낸 청량한 쌀친구들
82,아홉쌀 - 하얗고 찰진 백진주쌀로 빚어낸 청량한 쌀친구들
83,열두쌀 - 하얗고 찰진 백진주쌀로 빚어낸 청량한 쌀친구들
84,신선주 약주 - 충북무형문화재 제4호
85,52C - 세계 최초의 오이 증류주
86,신선주 증류주 - 충북무형문화재 제4호
87,G12 골디락스 - 무첨가 프리미엄 탁주
88,지란지교 무화과 탁주 - 순창 건곡리의 구전비법 누룩과 주방문을 빌어 재현한 술
89,당당하리 - 홍마늘의 백리를 듬뿍 담은 지역 특산주
90,지란지교 탁주 - 순창 건곡리의 구전비법 누룩과 주방문을 빌어 재현한 술
91,백이주 - 마늘의 백리만 듬뿍 담은 지역전통주
92,지란지교 약주 - 순창 건곡리의 구전비법 누룩과 주방문을 빌어 재현한 술
93,배도가 로아 19 레드 - 한방울 한방울 천천히 내린 흰 빛깔의 이슬
94,추사백25 - 예산만의 지역적인 특성과 원료를 살린 사과 증류주
95,심플리 애플 - 우리쌀로 빚은 증류식 소주와 사과의 상큼한 만남
96,"코이버펑크, 머스캣 베일리 에이 - 자연주의 친환경 고품질 와인"
97,맑은내일 Winery 단감명작 - 창녕 단감만의 달달한 한 모금
98,"코이버펑크, 샤르도네 세미용 블렌드 - 자연주의 친환경 고품질 와인"
99,운암1945
100,"코이버펑크, 카베르네 소비뇽 - 자연주의 친환경 고품질 와인"
101,이도 32 - 세종대왕의 깊은 뜻을 담은 전통주
102,신선주 백주 - 충북무형문화재 제4호
103,"33JU - 7년근 이상의 산양산삼을 3일 동안 고온과 저온 추출하여 3,333시간 숙성한 전통주"
104,젤코바 캠벨와인 - 유기농 캠벨포도로 빚은 자연주의 와인
105,바랑 탁 - 진한 감칠 맛에 쌀향이 가득 담긴 고순도 수제 탁주
106,별바랑 - 내추럴 와인같은 산미와 단맛을 지닌 수제 약주
107,대작 생막걸리 - 철원 오대쌀로 빚은 전통 막걸리
108,"모월 인 - 어머니와 같은, 달과 같은 넉넉하고 은은한 증류식소주"
109,"모월 로 - 어머니와 같은, 달과 같은 넉넉하고 은은한 증류식소주"
110,"모월 청 - 어머니와 같은, 달과 같은 넉넉하고 은은한 약주"
111,"모월 연 - 어머니와 같은, 달과 같은 넉넉하고 은은한 약주"
112,젤코바 스페셜와인 - 산머루로 빚은 경쾌한 느낌의 머루와인
113,젤코바 프리미엄와인 - 산머루로 빚은 프리미엄 머루와인
114,그랑꼬또 화이트와인 - 한국와인의 명가 그랑꼬또 와이너리에서 빚은 화이트와인
115,시나브로 화이트와인 - 나도 모르게 시나브로 반하게 만드는 매력적인 와인
116,시나브로 에뚜왈 로제 스파클링 - 나도 모르게 시나브로 반하게 만드는 매력적인 와인
117,시나브로 로제와인 - 나도 모르게 시나브로 반하게 만드는 매력적인 와인
118,포엠 레드 스위트와인 - 직접 재배한 유기농 포도로 빚은 품질 좋은 한국와인
119,포엠 레드 드라이와인 - 직접 재배한 유기농 포도와 머루로 빚은 품질 좋은 한국와인
120,포엠 로제와인 - 직접 재배한 유기농 포도로 빚은 품질 좋은 한국와인
121,포엠 화이트와인 - 직접 재배한 유기농 포도로 빚은 품질 좋은 한국와인
122,두레앙 22 - 대한민국 우리술품평회 3회 석권에 빛나는 증류주
123,그랑꼬또 M5610 - 한국와인의 명가 그랑꼬또 와이너리에서 빚은 로제와인
124,그랑꼬또 레드와인 - 한국와인의 명가 그랑꼬또 와이너리에서 빚은 레드와인
125,성포 생막걸리 - 거제도를 대표하는 36년 역사의 양조장에서 빚은 술
126,유자 동동주 - 거제도를 대표하는 36년 역사의 양조장에서 빚은 술
127,행운 막걸리 - 거제도를 대표하는 36년 역사의 양조장에서 빚은 술
128,행운주
129,나루 생막걸리 6% - 경복궁쌀로 빚은 서울의 1호 지역특산주
130,모을동주 약주 - 철원 오대쌀로 빚은 쌀내음 가득한 약주
131,나루 생막걸리 11.5% - 경복궁쌀로 빚은 서울의 1호 지역특산주
132,모을동주 소주 - 철원 오대쌀로 빚은 쌀내음 가득한 소주
133,편백숲 산소막걸리 - 피톤치드 향내음 가득한 축령산 편백숲에서 찾아온 산소같은 막걸리
134,걍즐겨 - 과실의 산미와 쌀의 단맛이 어우러진 신개념 막걸리
135,"뉴트로 - 페일에일, IPA 맥주같은 드라이한 막걸리"
136,두유노 - 내추럴 와인같은 향에 산미와 단맛이 매력적인 막걸리
137,볼빨간막걸리 7 - 두근두근 수줍은 마음에 볼이 빨개지던 첫사랑의 느낌
138,볼빨간막걸리 10 - 두근두근 수줍은 마음에 볼이 빨개지던 첫사랑의 느낌
139,라이스퐁당 13 - 설렘 가득한 달콤한 인생술
140,라이스퐁당 17 - 설렘 가득한 달콤한 인생술
141,마주 소곡주 - 천오백년의 맛과 향이 백일의 정성에 담기다
142,햇찹쌀이 하늘수 - 100년을 바라보는 유서 깊은 양조장에서 빚은 술
143,설련주 - 눈처럼 하얀 백련꽃 향이 그윽한 술
144,홍로 - 지초의 붉은색이 눈길을 사로잡고 은은한 백련꽃 향은 마음을 사로잡는다.
145,산내울 사과애주 - 맑고 상큼한 사과의 싱그러움이 입안 가득
146,"르깔롱 - 멜론, 코코넛, 죽력으로 명인이 만든 클럽용 젊은 전통주"
147,담양 죽력고 - 대나무의 고장 담양에서 명인이 빚은 죽력고
148,느낌 19.8 - 전통 안동소주를 현대적으로 재해석한 증류식소주
149,느낌 30 - 전통 안동소주를 현대적으로 재해석한 증류식소주
150,필 FEEL - 전통 안동소주를 현대적으로 재해석한 증류식소주
151,안양 동동주 - 100년을 바라보는 유서 깊은 양조장에서 빚은 술
152,산내울 오미자주 - 2019년 대한민국 우리술품평회 기타주류부문 최우수상 수상
153,"산내울 복분자주 - 과일향, 꽃향, 나무향이 잘 어우러진 그윽한 술"
154,독산 53 - 상압증류로 정성껏 내린 전통 쌀 소주
155,"맑은내일 발효막걸리 - 부드럽고 깊은 향, 유산균이 빚어낸 오묘한 맛의 프리미엄 막걸리"
156,"창원 생탁주 - 부드럽고 깊은 향, 유산균이 빚어낸 오묘한 맛의 프리미엄 막걸리"
157,율무 동동주 - 연천 율무로 빚은 진한 맛 그대로 진땡이 막걸리
158,맑은내일 우포 - 2008년 환경올림픽 람사르총회 공식 건배주
159,연천 연주 - 그리운 연인처럼 향기로운 드라이한 맑은술
160,조선주조사 - 75여년의 응축된 양조기술로 빚은 맑은 청주
161,연천 우주
162,동학 1957 - 2018 평창 동계올림픽 공식 판매주
163,천등산 차례주 - 국내산 쌀로 빚은 정성 가득 담긴 차례주
164,충주 백주 - 천등산 맥반암반수와 100% 국내산쌀로 빚은 증류주
165,삼양춘 청주 - 2018년 대한민국 주류대상 약주 부문 BEST OF BEST 수상
166,1000억 막걸리 프리바이오
167,1000억 유산균막걸리 - 장까지 살아있는 식물성 유산균을 1000억마리 이상 키워낸 막걸리
168,술공방 9.0 생막걸리 - 인공첨가물 없이 빚은 자연주의 수제막걸리
169,구기홍주 14 - 진도의 특산주 진도홍주를 가볍고 부드럽게 재해석한 약주
170,겨울소주 25 - 은은한 곡물향이 매력적인 깔끔한 증류식소주
171,오산막걸리 - 인공첨가물 없이 빚은 자연주의 수제막걸리
172,오매백주 - 인공첨가물 없이 빚은 자연주의 수제막걸리
173,머르드 서 스위트 - 감악산 산머루로 빚은 프리미엄 머루와인
174,감악산 머루주 - 감악산 산머루로 빚은 프리미엄 머루주
175,도로시 머루주 - 감악산 산머루로 빚은 프리미엄 머루주
176,진맥소주 22% - 100% 유기농 통밀로 빚은 전통수제방식의 프리미엄 소주
177,마주 소곡화주 - 천오백년의 맛과 향이 백일의 정성에 담기다
178,진맥소주 40% - 100% 유기농 통밀로 빚은 전통수제방식의 프리미엄 소주
179,희양산막걸리 9% - 우렁이농법으로 재배한 희양산 쌀로 빚은 수제 막걸리
180,진맥소주 53% - 100% 유기농 통밀로 빚은 전통수제방식의 프리미엄 소주
181,희양산막걸리 15% - 우렁이농법으로 재배한 희양산 쌀로 빚은 수제 막걸리
182,주산지 막걸리 - 경북 청송을 대표하는 80여 년 역사의 양조장에서 빚은 막걸리
183,청송 주왕 사과막걸리 - 경북 청송을 대표하는 80여 년 역사의 양조장에서 빚은 막걸리
184,청송 얼음골 동동주 - 경북 청송을 대표하는 80여 년 역사의 양조장에서 빚은 막걸리
185,도깨비술 7%
186,도깨비술 9%
187,도깨비술 11%
188,"연천 아주 - 함박꽃향과 쌉싸름한 맛, 임진강이 빚은 프리미엄 생 막걸리"
189,편백숲 산소막걸리 순수령 - 청정한 숲 속 산소처럼 순수한 무첨가 막걸리
190,편백숲 산소막걸리 딸기스파클링 - 상큼한 딸기맛과 향이 가득 담긴 경쾌한 스파클링 막걸리
191,장수 오미자주 - 오미자의 5가지 맛이 어우러진 과실주
192,머르드 서 드라이 - 감악산 산머루로 빚은 프리미엄 머루와인
193,호땅 - 호두향과 땅콩맛이 어우러진 풍미 가득한 술
194,담향 대대포 블루 - 2020년 대한민국 우리술품평회 탁주부문 대상 수상
195,봉하쌀 생막걸리 - 친환경농업의 결실 봉화쌀로 빚은 막걸리
196,"죽향 생막걸리 - 댓잎을 스치는 바람, 이슬 닮은 전통의 맛"
197,대잎 생동동주 - 국내산 쌀로 빚고 몸에 좋은 영지버섯이 첨가된 술
198,천년담주 - 담양 지명 천년의 역사를 담은 약주
199,세종대왕어주 약주 - 2019년 대한민국 우리술품평회 대통령상 수상
200,세종대왕어주 탁주 - 세종대왕의 어의가 저술한 고문헌 속 술을 재현한 프리미엄 막걸리
201,유기농 이도14 - 2019년 대한민국 우리술품평회 약청주부문 최우수상 수상
202,우곡생주 - 2019 대한민국 우리술품평회 탁주 부문 대상 수상
203,마셔블랑 - 제주 한라봉으로 만든 화이트 와인
204,귀감 - 참나무통에서 숙성한 제주 감귤 소주
205,설하담
206,풍남문 - 보리로 만든 프리미엄 수제 발포주
207,"남산애 포트와인 - 일체의 첨가물, 보존제도 없는 자연주의 와인"
208,복숭아와인 - 은은하고 달콤한 복숭아 풍미가 가득한 와인
209,오가피와인 - 오크통에 숙성한 듯한 향과 묵직한 바디감
210,사과와인 - 새콤달콤한 사과의 풍미가 가득한 와인
211,혼디주 - 제주 감귤로 빚은 싱그러운 맛과 향이 담긴 과실주
212,신례명주 - 제주 감귤로 빚은 맛과 향이 뛰어난 브랜디
213,영일만친구 막걸리 - 포항을 대표하는 포항쌀로 빚은 막걸리
214,도구 막걸리 - 포항에서 출시된 가장 오래된 막걸리
215,동해 동동주 - 포항 최초로 100% 쌀로 만든 막걸리
216,"남산애 레드와인 - 일체의 첨가물, 보존제도 없는 자연주의 와인"
217,"가을빛 레드와인 - 일체의 첨가물, 보존제도 없는 자연주의 와인"
218,백년향 - 삼양주기법으로 백일동안 정성껏 빚은 술
219,여강 - 경기 여주쌀로 빚은 순곡 증류주
220,"삼선 - 천(天), 지(地), 인(人)의 기운을 담아는 삼선 탁주"
221,애석 - 맛과 향이 뛰어나 감히 삼키지 아깝다는 석탄주를 재현한 술
222,메밀로 - 강원도 홍천 쌀과 메밀로 빚어 증류한 프리미엄 증류주
223,기다림 25
224,기다림 34
225,"기다림 맑은술 - 100일간의 기다림으로 탄생한 프리미엄 막걸리, 기다림 34"
226,경기전 - 보리로 만든 프리미엄 수제 발포주
227,오목대 - 보리로 만든 프리미엄 수제 발포주
228,"정고집 옛날 생동동주 - 쌀알이 동동, 60년 장인정신으로 빚은 동동주"
229,정고집 나주쌀 생막걸리 - 은은한 과일 향과 원재료의 깊은 맛을 품은 막걸리
230,정고집 나주배 약주 9% - 나주의 특산품 나주배로 만든 황금빛 약주
231,정고집 나주배 약주 15% - 나주의 특산품 나주배로 만든 황금빛 약주
232,기다림 16
233,"두리향 - 맛과 향이 너무 좋아 차마 삼키기가 안타까운 술, 석탄주를 증류한 술"
234,막시모40 - 친환경 오미자를 원료로 만든 오미자 증류주
235,예천주 사월24 - 친환경 오미자를 원료로 만든 오미자 증류주
236,예천주 사월365 - 친환경 오미자를 원료로 만든 오미자 증류주
237,예천주복 만월40 - 선명하고 풍성하게 복분자향이 퍼지는 복분자 증류주
238,"병영설성사또 - 햅쌀과 오디, 복분자가 만나 탄생한 명주"
239,해방주 18.8% - 영덕의 특산물 해방풍으로 빚은 증류주
240,송화백일주 - 대한민국 식품명인 제1호로 지정된 사찰에서 빚은 명주
241,황금보리소주17 - 국내 최초로 황금보리로 만든 깔끔한 증류주
242,황금보리소주25 - 국내 최초로 황금보리로 만든 깔끔한 증류주
243,황금보리소주40 - 국내 최초로 황금보리로 만든 깔끔한 증류주
244,예밀와인 레드 스위트 - 강원도 영월의 자연을 그대로 담은 달콤한 한국와인
245,예밀와인 로제 - 2018 광명동굴 대한민국와인품평회 은상 수상
246,병영설성 생막걸리 - 식품명인이 우리 쌀로 정직하게 빚은 막걸리
247,병영설성 동동주 - 식품명인이 우리쌀로 정직하게 빚은 동동주
248,시나브로 레드 드라이 - 나도 모르게 시나브로 반하게 만드는 매력적인 와인
249,시나브로 레드 스위트 - 나도 모르게 시나브로 반하게 만드는 매력적인 와인
250,시나브로 에뚜왈 스파클링와인 - 나도 모르게 시나브로 반하게 만드는 매력적인 와인
251,시나브로 드 글로리아 - 나도 모르게 시나브로 반하게 만드는 매력적인 와인
252,"그랑티그르CE2002 - 한국와인 기대주, 월류원이 만든 프리미엄 와인"
253,그랑티그르M1988 - 포도와 오미자를 브랜딩한 프리미엄 와인
254,예밀와인 레드 드라이 - 2019 대한민국주류대상 한국와인부문 대상 수상
255,샤토미소 랑 - 청포도의 싱그러움이 가득 담긴 화이트화인
256,샤토미소 레드 프리미엄 드라이 - 한국와인대상 3개년 수상에 빛나는 프리미엄 와인
257,샤토미소 영동 - 품질 좋은 도란원의 와인을 증류하여 만든 브랜디
258,가덕 순쌀 막걸리 - 충북 청원쌀과 백족산 맑은 물로 정성껏 빚은 막걸리
259,청남대 블루베리 막걸리 - 충북 청원쌀과 백족산 맑은 물로 정성껏 빚은 막걸리
260,매실향기 담은 술 - 새콤달콤한 맛으로 건강하게 마시는 술
261,한시울 - 새콤달콤한 맛으로 건강하게 마시는 술
262,이상헌 탁주 - 세상 어디에도 없는 알코올 19% 탁주
263,"이상헌 약주 - 어떠한 첨가물 없이 쌀, 누룩, 물로만 빚은 순수한 약주"
264,예천주복 만월24 - 선명하고 풍성하게 복분자향이 퍼지는 복분자 증류주
265,순향주 - 오양주기법으로 정성껏 빚은 프리미엄 약주
266,술헤는밤 - 부담없이 마시기 좋은 수제 막걸리
267,감 보드카
268,감이슬 - 감의 고장 논산 양촌의 감으로 빚은 감 증류주
269,하향주 - 대구시 무형문화재 11호 기능보유자가 빚은 프리미엄 약주
270,하향주 증류주 - 대구시 무형문화재 11호 하향주를 증류한 프리미엄 증류주
271,"어우야 - 기다림의 미학, 45일의 자연 발효로 빚은 술"
272,"흑돈주 - 기다림의 미학, 45일의 자연 발효로 빚은 술"
273,"황칠주 - 기다림의 미학, 45일의 자연발효로 빚은 술"
274,해파랑 - 영덕의 특산물 해방풍으로 빚은 약주
275,해방주 38% - 영덕의 특산물 해방풍으로 빚은 증류주
276,천년주 - 신이 내린 약초 천년초로 빚은 증류주
277,해미읍성 딸기와인 - 다양한 과실주를 빚는 세인트하우스 와이너리의 딸기와인
278,해미읍성 매실와인 - 다양한 과실주를 빚는 세인트하우스 와이너리의 매실와인
279,해미읍성 살구와인 - 다양한 과실주를 빚는 세인트하우스 와이너리의 살구와인
280,해미읍성 모과와인 - 다양한 과실주를 빚는 세인트하우스 와이너리의 모과와인
281,맑은술 해밀 - 40여년 전통주를 빚어온 술도가에서 선보이는 프리미엄 약주
282,레돔 내추럴 스파클링 로제와인 - 프랑스 농부가 한국에서 만든 자연주의 와인
283,레돔 시드르 - 프랑스 농부가 한국에서 만든 내추럴 애플 시드르
284,감자술 13% - 강원도 감자바우로 빚은 평창 감자술
285,서주 16% - 강원도 감자바우로 빚은 평창 감자술의 프리미엄 제품
286,추시와인 - 감의 고장 논산 양촌의 감으로 빚은 감와인
287,원조 한산소곡주 - 천오백년의 맛과 향이 백일의 정성에 담기다
288,석탄주 약주 - 맛과 향이 너무 좋아 차마 삼키기가 안타까운 술
289,원조 소곡화주 - 불소곡주라고도 불리는 한산소곡주 증류주
290,"방문주 탁주 - 술 빚는 방법대로 빚은 술, 방문주"
291,크라테 레드와인 스위트 - 해발 1317m 청정지역 산머루와 포도로 빚은 와인
292,"방문주 약주 - 술 빚는 방법대로 빚은 술, 방문주"
293,크라테 레드와인 드라이 - 해발 1317m 청정지역 산머루와 포도로 빚은 와인
294,크라테 로제와인 - 해발 1317m 청정지역 산머루와 포도로 빚은 와인
295,선운산 복분자주 - 2018년 대한민국 우리술품평회 과실주 부문 우수상 수상
296,선운산 복분자와인 - 24년간 복분자주 생산으로 축적된 발효숙성공법으로 빚은 술
297,선운산 복분자주 프리미엄 - 24년간 복분자주 생산으로 축적된 발효숙성공법으로 빚은 술
298,샹스프랑보아즈 - 24년간 복분자주 생산으로 축적된 발효숙성공법으로 빚은 정통 복분자와인
299,산정호수 동정춘막걸리 - 2018 대한민국 우리술품평회 탁주 부문 대상 수상
300,허니문와인 - 대한민국 최초로 상용화에 성공한 벌꿀 발효주
301,배꽃담은 연 생막걸리 - 2018 대한민국 우리술품평회 탁주 부문 우수상 수상
302,석탄주 탁주 - 맛과 향이 너무 좋아 차마 삼키기가 안타까운 술
303,천비향 약주 - 전통방식 그대로 쌀과 누룩으로만 빚은 프리미엄 약주
304,천비향 오양주 탁주 - 전통방식 그대로 쌀과 누룩으로만 빚은 프리미엄 막걸리
305,"청진주 - 쌀과 누룩, 그리고 물만으로 빚은 진주처럼 귀한 술"
306,아황주 - 고려시대 궁중에서 전해온 천년의 역사를 간직한 술
307,미인탁주 - 자연 그대로를 담아 빚어 낸 맛이 조화로운 막걸리
308,미인약주 - 자연 그대로를 담아 빚어 낸 맛이 조화로운 약주
309,삼양춘 생탁주 - 2018년 대한민국 주류대상 탁주부문 대상 수상
310,삼양춘 생약주 - 2018년 대한민국 주류대상 약주 부문 BEST OF BEST 수상
311,술그리다 생탁주 - 전통방식 그대로 쌀과 누룩으로만 빚은 프리미엄 막걸리
312,술예쁘다 생탁주 - 전통방식 그대로 쌀과 누룩으로만 빚은 프리미엄 막걸리
313,김포별주 - 금처럼 값진 술을 담다 전하다
314,김포 막걸리 - 김포 금쌀로 빚은 오랜 친구처럼 정겨운 막걸리
315,김포약주 유리병 - 금처럼 값진 술을 담다 전하다
316,김포약주 PET - 금처럼 값진 술을 담다 전하다
317,천비향 화주 - 천비향 약주를 상압식 증류하여 만든 최상급 증류주
318,김포예주 프리미엄 - 금처럼 값진 술을 담다 전하다
319,백자주 - 강원도 홍천의 명품 잣이 듬뿍 들어간 프리미엄 탁주
320,석로주 - 석이버섯을 활용한 전통 수제 발효주
321,호모루덴스 - 홍천의 산속 계곡 양조장에서 빚은 드라이한 고급 탁주
322,동정춘 - 지난해 마셨던 동정춘의 향내가 아직도 손에서 난다
323,녹파주
324,한주 - 로주두말빚이로 빚은 조선시대 명주
325,안성마춤 생막걸리 - 엄선된 안성마춤 햅쌀로 빚은 막걸리
326,선호 생막걸리 - 80여년 이어온 탁주의 명가에서 빚다
327,미생 막걸리 - 80여년 이어온 탁주의 명가에서 빚다
328,김포특주 - 80여년 이어온 전통주 명가에서 빚은 특별한 술
329,죽력고 - 4대에 걸쳐 130여년 동안 전승된 문화재급 전통주
330,송명섭 막걸리 - 막걸리 마니아들이 손꼽는 드라이한 막걸리 '송막'
331,면천두견주 360 - 남북정상회담 만찬주로 선정된 중요 무형문화재
332,면천두견주 700 - 남북정상회담 만찬주로 선정된 국가무형문화재
333,술아 연화주 - 여름의 연꽃과 잎을 넣어 신선하고 맑은 맛이 일품
334,술아 국화주 - 가을 국화를 넣어 꼬 끝에 스치는 향이 일품
335,면천두견주 900 - 남북정상회담 만찬주로 선정된 중요 무형문화재
336,술아 매화주 - 봄의 매화를 넣어 은은한 향이 일품
337,추사 로제 - 사과와인의 명가에서 만드는 장미빛 사과와인
338,추사40 - 사과와인 명가에서 만든 사과증류주
339,"술아 순곡주 - 겨울, 여주산 찹쌀로 빚은 순수하고 깨끗한 순곡주"
340,"술아 막걸리 - 쌀, 누룩, 물만으로 빚은 100% 수제 막걸리"
341,오희 스파클링 막걸리 - 오미자가 전하는 부드러움과 싱그러운 맛의 조화
342,애피소드 호프 - 사과와인과 맥주가 만나 새로운 미각을 자극한다
343,The 찾을수록 시리즈 - 와이너리에서 만든 이색적인 사과소주
344,뱅꼬레 레드와인 - 35년 와인메이커 외길인생의 역작
345,"왕피천을 품은 미소생막걸리 - 천년의 울진, 백년의 술도가"
346,"미소 생막걸리 - 천년의 울진, 백년의 술도가"
347,오메기 맑은술 - 제주의 풍미가 가득 담긴 제주 대표술
348,뱅꼬레 화이트와인 - 35년 와인메이커 외길인생의 역작
349,뱅꼬레 로제와인 - 35년 와인메이커 외길인생의 역작
350,스타베리 오디와인 - 국산 친환경 오디로 빚은 정통발효와인
351,뱅꼬레 아이스와인 - 35년 와인메이커 외길인생의 역작
352,청명주 500 - 충청북도 무형문화재 지정
353,"아이원 막걸리 - 시인의 마을, 장인의 양조장에서 빚다"
354,애피소드 상그리아 - 한국와인의 명가에서 만든 상그리아
355,애피소드 애플 - 명품 의성사과로 만든 탄산와인
356,한스오차드 사과와인 - 명품 의성사과로 옹기에서 숙성한 사과와인
357,청산녹수 생탁주 - 막걸리 본연의 맛에 충실한 생생한 막걸리
358,청산녹수 꿀막걸리 - 천연벌꿀로 후숙한 달콤하고 부드러운 막걸리
