type,ingredients,alcohol_content,volume,awards,additional_info,product_introduction,pairing_food,brewery,address,website,contact_info,name
탁주,"정제수,쌀(국내산),기타과당,소다맛시럽,물엿,",5%  ,770ml,,,상큼한 레몬바닐라의 맛을 즐길 수 있는 새콤한 맛입니다.,,기억브루어리,경기도 김포시 하성면 누산봉성로237번길 163 3동 (우 : 10013),https://smartstore.naver.com/mapcykorea,,맵시 막걸리 레드라벨
탁주,"정제수,쌀(국내산),기타과당,누룩,효모,효소제,아스파탐",6%  ,770ml,,,"24시간 합 720시간 이상의,7차례의 과정을 지닌 품질 검증을 끝낸 최고금 백국 누룩이기에 일반 전통주에서 맛볼 수 없던 특유의 감칠맛을 맛볼 수 있습니다.",,기억브루어리,경기도 김포시 하성면 누산봉성로237번길 163 3동 (우 : 10013),https://smartstore.naver.com/mapcykorea,,맵시 막걸리 화이트
탁주,"멥쌀(국내산), 찹쌀(국내산), 누룩, 정제수",9%  ,500ml,,,100% 부산쌀로 누룩과 정제수만을 사용하며 제조 하였습니다.첨가제 및 감미료가 들어가지 않고 저온 발효로 찹쌀의 깊은 풍미를 느낄 수 있습니다.,,동백1917,농업회사법인 주식회사 동백1917,https://smartstore.naver.com/busandongbaek1917/products/9194545227?,,동백 꽃이 피었습니다
탁주,"정제수,찹쌀(국내산파주),멥쌀(국내산파주),누룩(밀함유) (국내산김포)",9%  ,500ml,,,"오직 쌀이 주는 은은한 단맛과 과하지 않은 과실형,입안에 감싸는 부드러운 텍스쳐와 목넘김이 특징입니다.",,도반주조,"경기도 파주시 금정 12길4 1층,도반주조",https://smartstore.naver.com/dovan_brewery/,,써드 (3rd)
"약주, 청주","정제수,백미(국내산,유기농쌀),누룩,벌꿀(국내산),효모",15%  ,500ml,,,친환경쌀로 장기저온발효과정을 거쳐 국내산 천연벌꿀 원료로 빚었습니다.인공감미료가 첨가되지않아 깔끔하고 감칠맛이 뛰어납니다.,전,죽향도가,전라남도 담양군 담양읍 외다길 30 (우 : 57333),https://smartstore.naver.com/jhdg,,천년담주
탁주,찹쌀 80% 멥쌀 20%,10%  ,750,,,"삼백의 고장 상주 최고의 생산한 쌀과 누룩으로 빚어 저온 숙성 시킨 고급 막걸리 입니다. 감미료가 들어가지 않습니다. 머리가 아프지 않습니다 즉, 숙취를 느낄수 없습니다 뒤 끝이 깔끔해서 좋습니다",,다담도가,경상북도 상주시 외남면 지사3길 16 외 1필지 (우 : 37259),https://smartstore.naver.com/dadamdoga,,조오탁
"약주, 청주","정제수, 쌀(국내산), 누룩(국내산), 죽력, 대입, 효모, 구기자, 진피, 갈근, 오미자, 육계, 솔잎, 올리고당",12%  ,300ml,,,추성고을 대잎술은 7여가지의 한약재가 들어가 저온숙서을 하여 부드러움과 함께 각종 한약재들이 조화롭게 맛을 내며 기분을 좋게 하는 옅은 대나무향이 올라오고 맑은 단맛과 산미등 오미의 균형이 잘 갖춰져 있는 약주 입니다.,"치즈,과일,케이크,돼지고기 .",추성고을,전라남도 담양군 용면 추령로 29,https://smartstore.naver.com/cs3011,,대잎술
탁주,"아산쌀, 국(국내산 밀누룩), 정제수",14%  ,500ml,,,"곡물의 향이 좋고 적당한 단 맛과 드라이한 맛,부드러운 목 넘김을 좋습니다.","불고기,꼬막 무침,김치찜,모든전",이가수불,충청남도 아산시 도고면 기곡로77번길 30-7 (우 : 31551),https://smartstore.naver.com/leegasubul,,이상헌 탁주
탁주,"찹쌀 28.9%, 누룩 2.9%, 정제수 68.2%",12%  ,500ml,,,"지역(완주 동상면)찹쌀과 누룩,물로만 빚은 1번 발효한 단양주입니다.부드러운 단맛과 상큼함을 담았으며 마시는 잔마다 맛과 향이 달라지는 재미가 있습니다.","차돌박이 숙주볶음,백김치,고추전,과일",주식회사 공동체공간 수작,"전라북도 완주군 동상면 단지길 37, 1층",,,숨은골 탁주
과실주,"홍시(국산)100%,백설탕,효모,메타중아황산나칼륨,소르빈산칼륨(산화방지제),",12%  ,750ml,,,"오크숙성으로 바닐라 향,훈제 향,코코넛 향도 느낄 수 있습니다.",돼지고기,림프루츠영농조합법인,충북 영동군 영동읍 어미실길 92,,,홍시 와인 감 화이트
과실주,"머루, 포도, 백설탕, 효모, 메타중아황산칼륨, 아황산함유",12%  ,750ml,,,오크에 숙성했기 때문에 깊은 향과 맛을 가지고 있답니다. 색은 루비처럼 붉은빛을 띠며 약간의 단맛이 입안을 감싼 후에 상큼한 신맛으로 마무리됩니다.,레드와인이기 때문에 육류와 함께 드시는 것을 추천드리며 식사를 할 때 곁들여 마시는 것이 좋다고 합니다.,갈기산포도농원,충청북도 영동군 학산면 모리1길 23 (우 : 29164,https://smartstore.naver.com/galgisanwine,,포엠 드라이
"약주, 청주","정제수, 멤쌀, 체리, 누룩",5%  ,300ml,,,"농촌진흥청에서 개발한 분질미로 술을 빚어 100일간 저온숙성을 거쳤고, 국내산 체리가 들어갔기 때문에 고소함과 함께 강한 체리 향을 살렸답니다.",팝콘이나 스낵류,시향가,전라남도 곡성군 곡성읍 낙동원로 20 시향가 (우 : 57533),https://smartstore.naver.com/sihyangga,,선셋 체리스파클링
"약주, 청주","쌀, 찹쌀, 누룩, 종국, 정제수",16%  ,750ml,,,인공 감미료를 넣지 않아 삼양주 특유의 풍부한 맛과 향이 특징입니다.,"생선회,파전,빈대떡,육회,도토리묵무침",신탄진주조,대전광역시 대덕구 신탄진로738번길 128 (농)신탄진주조㈜ (우 : 34336),https://smartstore.naver.com/deadeokju,,단상지교
"약주, 청주","정제수, 멥쌀(국내산), 감귤농축액, 진피(감귤껍질), 귤꽃, 한라봉과피, 당유자 과피, 계피, 밀누룩(우리밀)",12%  ,375ml,,,"인공 감미료 없이 국내산 쌀과 제주 시트러스로 빚은 지역특산주입니다. 제주섬이 천천히 걸러낸 맑은 화산암반수와 국내산 햅쌀로 두 번 술은 빚고 제주도 유기농 한라봉, 귤, 당유자 등을 브랜딩해 향을 입혔답니다.",해산물요리,제주곶밭,제주특별자치도 제주시 제주대학로 102 (제주대학교) 바이오융합 2호관 208호 (우 : 63243),https://smartstore.naver.com/jeju_gott_batt,,만다린약주
리큐르/기타주류,"전조비수리(야관문), 정제수, 포도당, 효모",14%  ,375ml,,,밤의 빗장을 열어주는 문이란 뜻으로 야관문을 먹으면 천리 밖에서도 빛이 보인답니다. 화학적 알코올을 일절 사용하지 않고 오직 누룩이 자연적으로 빚어낸 14% 알코올 함량의 전통주입니다.,"삼계탕,족발.",왕지케양조장,제주특별자치도 제주시 한경면 고산로2길 22-13 (고산1리 다목적회관) 왕지케양조장 (우 : 63008),https://smartstore.naver.com/jedia,,무박이일
탁주,"정제수, 찹쌀(국산), 로즈마리, 타임, 누룩, 효모, 정제효소",5%  ,700ml,,,너디블랑에 들어간 타임이 생선의 비릿함은 잡아주고 로즈마리의 향긋함이 풍미를 높여주기 때문에 생선요리와 아주 잘 어울립니니다.,생선요리,상주주조,경상북도 상주시 남성로 73-15 1층 (우 : 37196),https://smartstore.naver.com/nerdbrew,,너디블랑
탁주,"쌀(국내산), 종국, 정제수, 누룩, 효모, 국내산 허브",6%  ,750ml,,,지리산 허브잎술은 지리산 바래봉 해발 500m 높이에 위치한 지리산 운봉주조에서 탄생했습니다.단맛이 적고 은은하게 느껴지는 산미가 아주 매력적! 대한민국 우리술 품평회 살균탁주 부분에서 2번의 대상을 수상할 정도로 맛과 품질이 모두 뛰어납니다.,,지리산 운봉주조,전북 남원시 운봉읍 서천리 622번지,http://www.herbsul.com/,,지리산 허브잎 술
탁주,"정제수, 찹쌀(국내산), 고구마, 감자, 쑥, 누룩(밀 함유)",10%  ,500ml,,,치 생쑥을 씹는 거처럼 쑥의 향이 강렬하게 느껴지는 이 술의 이름은 온지 쑥입니다. 60일의 발효과정과 30일의 숙성기간을 거쳐 지게미와 쑥의 향이 풍부하게 담겨있습니다.,"맑은 국물의 탕 요리나 미나리전,담백한 흰살생선과도 잘 어울립니다.",온지술도가,서울특별시 은평구 통일로65길 26 (해피플러스2) 지하1층 (우 : 03397),https://smartstore.naver.com/onzisuldoga,,온지 쑥
탁주,"쌀(국내산-포천 으뜸쌀), 허브(국내산-포천), 누룩(국내산), 정제수",14%  ,500ml,,,"민주허브막걸리는 인공 첨가물 대신 허브를 사용했기 때문에 허브의 향긋함과 깊은 맛을 강조했습니다. 특히 잉글리쉬 라벤더와 로즈마리, 레몬 버베나를 적절하게 조합하여 맛과 향이 뛰어나며 목 넘김도 부드럽답니다.",,농업회사법인 민주술도가 주식회사,경기도 포천시 소흘읍 거친봉이길 58-35 나동 민주술도가 (우 : 11183),https://smartstore.naver.com/minjusool,,민주허브막걸리
과실주,"정제수, 배(국내산), 설탕, 효모, 주정, 과당, 구연산, 사과산, 생체산삼배양근 0.119%",17%  ,375ml,,,국내산 배과실을 베이스로 산삼을 배양해 만든 산삼양근을 넣은 과실주입니다.,"삼계탕,전골 ,국물류",내변산 양조장,전라북도 부안군 행안면 부안농공단지길14-11,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068999,,천사의 선물
과실주,"정제수,기찬쌀(국내산),조(좁쌀(국내산)),설향곡누룩(기찬쌀(국내산),우리밀(국내산))증류주원액(기찬쌀,향온곡),벌꿀(국내산),한라봉과즙(국내산),",13%  ,750ml,,,"멜라는 약주에 소주를 더한 과하주입니다. 여름을 나는 술 이라는 뜻인데요, 이름만큼 더위에 강해서, 무더운 여름에도 잘 변하지 않는다는 강점을 가지고 있습니다.","고소한 치즈, 타코, 떡볶이, 과일 등 다양한 음식에 잘 어울린답니다",한통술 HANTONGSOOL,경기도 동두천시 쇠목길 325-2 B/D 전관 (우 : 11322),https://smartstore.naver.com/hantongsool,,멜라 탠저린 과하주 13도
증류주,"증류원액[김해산 햅쌀100%, 진영단감 발효수(28.5%),자연야생탱자(22.5%), 누룩(밀함유,국내산)], 정제수, 효모",23%  ,375ml,,,"탱자-씨 증류주는 술의 품질을 위해 증류중 초류, 후류를 과감 하게 제거하여 본류에만 충실한 증류주이며 평균 4개월의 숙성 과정과 5회의 숙성실 이동으로 깊은 맛과 부드럽고 진한 향을 내어 아주 오래 숙성된 술처럼 느껴집니다.","족발,골뱅이무침,물김치",농업회사법인(주)가야양조장,대한민국 경상남도 김해시 한림면 46번길 79-1,https://shopping.naver.com/fresh/traditionalalcohol/stores/102132925,,탱자 C
리큐르/기타주류,"쌀(국내산/지역햅쌀 100%), 입국, 홉(국내산 0.31%),정제효소제, 효모, 정제수",9%  ,500ml,,,"국내산 재료로 만든 전통주,국산재료만 사용하여 황금빛색의 술에 국내산 홉의 잔향,꽃향기를 맡을 수 있고, 적당한 탄산감으로 충분한 청량감을 느낄 수 있습니다.",,문경주조,경상북도 문경시 동로면 노은리 192번지,https://mgomijasul.modoo.at/,,폭스앤홉스
탁주,"쌀(선산찹쌀100%),누룩(국내산),효모,정제수,",6%  ,700ml,,,"순곡주로 산미,은은한 여러 진한향을 느끼실 수 있는 깔끔한 샴페인 같은 단양주입니다.","제철 해산물 요리,파스타 요리,간단한 견과류",선산주조,경상북도 구미시 봉곡동로2길 13-1 101호 선산주조 (우 : 39206),https://smartstore.naver.com/theseonsan,,선산 베이직
증류주,"메밀(강원도 양양산100%)증류원액,정제수",25%  ,375ml,,,번트 보리25는 한국 최초의 볶은 보리 소주입니다.숨쉬는 항아리에서 숙성된 소주는 목넘김이 부드럽고 원재료의 향과 맛이 살아있는 것이 특징입니다.,"육류,생선회,오뎅탕,조개찜",브리즈앤스트림,강원도 인제군 기린면 조침령로 1628 (브리즈앤스트림) 1층 (우 : 24653),https://smartstore.naver.com/breeze_n_stream,,BURNT 번트
탁주,"정제수, 찹쌀(한국), 멥쌀(한국), 국(한국/쌀, 밀), 식물(한국:헛개열매, 국화, 표고, 여주, 감초), 조제종국, 정제효소, 효모, 아스타팜(합성감미료, 페니알라닌함유)",5.8%  ,500ml,,,"숲향벼꽃 술도깨비는 단일 발효국이 아닌 특허 등록된 된 표고균사체배양미,인삼을 활용한 약용국,개량누룩 등을 배하는 비법으로 빚어 오감의 풍미,깔끔한 후미 청량감이 우수한 조화로운 생막걸리입니다.",,까치설,"전라남도 장흥군 장동면 석교상방이길 165, 까치설",https://smartstore.naver.com/magpieyear,,숲향벼꽃 술도깨비
과실주,"포도(국내산),설탕,효모,메타중아황산칼륨(산화방지제),아황산함유 소브산칼륨(보존료)",12%  ,750ml,,,캠벨의 상큼함을 느낄 수 있는 와인입니다.,"삼겹살,스테이크,케이크",소계리와인,충청북도 영동군 추풍령면 은편길26,https://smartstore.naver.com/sokyeriwine,,소계리595 드라이
과실주,"정제수,포도(국내산)42.694%,설탕,주정,올리고당,효모",9%  ,750ml,,,전라북도에서 9월 수확한 캠벨포도를 발효하여 알콜 9도로 가볍게 달달하게 즐기실 수 있는 수제와인입니다.,"디저트 류 (케이크, 과자류)",내변산 양조장,전라북도 부안군 행안면 부안농공단지길 14-11 (내변산) (우 : 56303),https://smartstore.naver.com/odwine,,PODO 포도
과실주,"머루(국내산),설탕,효모,소르빈산칼륨(합성보존료),산성아황산나트륨(산화방지제)",12%  ,750ml,,,"산들벗에서 제조하는 머루와인와 머루주 등 과실주는 해발 300미터 이상 고랭지에서 재배된 산머루를 발효시켜 맛과 향이 뛰어나며 색이 매우 아름답고 무주에서 자란 블루베리, 천마 등의 재료를 활용한 다양한 제품을 선보이고 있습니다.","치즈,과일,야채,파스타,까나페,브루스케타.",산들벗,전라북도 무주군 적상면 사천리 205,https://smartstore.naver.com/sd_associates,,바람한줌 달빛한줌
리큐르/기타주류,"정제수,주정,청주,정백당,구연산,석류향,아세셀팜칼륨,식용색소 적색40호",12%  ,360ml,,,깔끔한 맛과 부드러움이 특징인 청주를 베이스로 향긋하고 매력적인 석류향을 더한 전통주입니다.,,더한주조,서울시 은평구 증산로7길 28-13,https://www.thehan.kr/,,긴밤을 지나
탁주,"정제수,쌀(국내산),입국,누룩,효모,정제효소제,기타과당(옥수수전분100%)",5%  ,480ml,,,은은한 쌀꽃향이 나는 가볍고 부드러운 막걸리입니다.,"한식,육류,식사류.",맑은내일,경남 창원시 삼귀로 411-8,https://www.good-tomorrow.co.kr/,,와구리 막걸리 세미스위트
탁주,"쌀(경기미), 국, 효모, 정제수",17.5%  ,375ml,,,호심은 찹쌀 없이 멥쌀 100%로만 만들어서 담백합니다. 새콤달콤 깔끔한 단맛입니다.,제육볶음,농업회사법인제이앤제이브루어리,경기도 용인시 처인구 양지면 남평로 114,https://smartstore.naver.com/jjbrewerykorea,,호심
증류주,증류원액(경기도 친환경 쌀100%).정제수,25%  ,300ml,,,쌀 소주에 깨의 향을 더하여 두 번 내린 증류주입니다.,"생선회,두부 요리,산채 요리",농업회사법인 (주)온증류소,경기도 광주시 봉골길134번길 42-7 (우 : 12774),https://smartstore.naver.com/distilleryon,,연연 25
증류주,증류원액(경기도 친환경 쌀100%).정제수,40%  ,500ml,,,상상 이상의 부드러운 목넘김과 고유한 쌀 향을 머금은 깔끔한 증류주입니다.,"갈비찜,전골요리",농업회사법인 (주)온증류소,경기도 광주시 봉골길134번길 42-7 (우 : 12774),https://smartstore.naver.com/distilleryon,,형형40
"약주, 청주","쌀(화성시), 누룩(국내산), 정제수",15%  ,375ml,,,"은은한 단맛과 산미가 조화로우며,풍부한 꽃향기와 깔끔한 피니쉬가 특징입니다.",,술로우,경기도 화성시 마도면 마도로609번길 16-1 1동 술로우 (우 : 18541),https://smartstore.naver.com/sulow_brewery,,달 15%
탁주,"찹쌀(국내산), 멥쌀(국내산), 개량누룩, 정제수",10%  ,500ml,,,사일로 막걸리는 3번의 담금 과정을 거친 삼양주입니다.원재료 이외의 어떠한 첨가물도 들어가지 않은 막걸리입니다.,,사일로 브루어리,세종시 연동면 청연로 716,https://silobrewery.co.kr/,,사일로 막걸리
리큐르/기타주류,"벌꿀(국산), 유기농건조장미잎(국산), 정제수, 효모, 효모영양제, 구연산",8%  ,500ml,,,비왈츠 로지는 국내 최초로 만들어진 로도멜(미드+장미 꽃잎)입니다. 춘천에서 양봉한 아카시아 벌꿀과 유기농 장미가 들어가 싱그럽고 달콤한 맛을 극대화했습니다.,"카프레제 샐러드,문어 샐러드, 스테이크 타르타르, 크루아상",미더리봉자,강원도 춘천시 소양고개길 6 미더리봉자 (우 : 24272),https://smartstore.naver.com/beewaltz,,비왈츠 로지
증류주,"물, 쌀(철원군), 국, 효모, 밀함유",43%  ,375ml,,,"주정에 감미료를 타서 만든 저렴한 희석식 소주가 아닌, 술덧을 증류한 그대로를 담은 오리지널 증류식 소주입니다.","버섯 전골 ,차돌박이 숙주 볶음.",대작영농조합법인,강원도 철원군 동송읍 이평로34번길 20-28,https://blog.naver.com/daejak_ricewine,,모을동주 소주
탁주,"정제수, 쌀(국내산), 국(밀함유), 효모",7%  ,500ml,,,청춘 7도는 청주의 청원생명쌀[특등급]로 만든 막걸리입니다. 부담스럽지 않은 단맛과 막걸리 특유의 바디감이 특징입니다.,매콤한 한식과 잘 어울립니다.,청해주조,충청북도 청주시 상당구 무심동로336번길 97 1층,https://smartstore.naver.com/blueboarbrewery,,청춘7도
증류주,"단감증류원액,정제수",24%  ,375ml,,,"숙성된 단감와인을 감압증류하여 부드러우면서 깨끗하고,100% 국내산 단감의 고유한 향과 풍부한 맛을 담아낸 증류주입니다.",,맑은내일,경남 창원시 삼귀로 411-8,https://www.good-tomorrow.co.kr/,,하늘아래서
증류주,"정제수, 쌀(국산 충북음성 다올찬쌀)",25%  ,300ml,,,"알싸한 고추씨의 스파이시한 맛과 구수한 누룩의 향미,특유의 산미로 끝맛이 깔끔합니다.","꼬치류,전,부침개.육류 등등 ..",하나도가,충청북도 음성군 금왕읍 대금로1851번길 9 1층 하나도가 (우 : 27626),https://smartstore.naver.com/hanadoga,,농태기
증류주,"쌀(국내산),국,효모,정제수,정제효소",25%  ,375ml,,,주향이오는 부드럽고 새겅이 강하지 않으며 주향담을은 약간의 단맛에 은은한 향이 납니다.,"문어숙회 ,송어회",담을술공방,충청북도 충주시 엄정면 신만리 211-34,https://dameul6267.modoo.at/,,주향이오
리큐르/기타주류,"정제수,쌀(국산),쌀입국(국산),효모,원당,누룩,유자(고흥산),정제효소,스테비아",6%  ,500ml,,,어떤유자는 친환경 고흥쌀과 100%고흥유자로 만드는 우리 전통주입니다.,"기름진 음식,해산물,",녹동양조장,전라남도 고흥군 도양읍 목넘가는길 52-5 (일반공장) (우 : 59557),https://smartstore.naver.com/eotteonharu,,어떤유자 06
리큐르/기타주류,"정제수, 주정, 헛개나무열매, 키위열매, 천연향료, 구연산(무수), 효소처리스테비아, 올리고당",30%  ,750ml,,,"얼씨고는 100% 천연 재료만 사용하여 만든 한국식 리큐르입니다. 3번 정제를 통해 목 넘김이 부드러워 특유의 맛과 향을 은은하게 즐길 수 있으며, 헛개열매와 상큼한 키위와 레몬이 만나 첫 맛음 상큼하게 시작해 다채로운 풍미로 이어지는 즐거움을 전달합니다.","피자, 파스타, 스테이크 등 파티음식, 육류, 해산물 등 각종 다양한 음식에 감칠맛을 더해줍니다.",까치설,전남 장흥군 장동면 석교상방이길 165,https://까치설.com/,,ULSSIGO 얼씨고
탁주,"정제수,흑미,쌀(국내산),젖산효모,기타과당,정제효소제",6.5%  ,750ml,,,"담은은 특유의 부드럽고 달콤한 맛을 내기 위해 생쌀 그대로 발효하는 담은만의 수제 공법을 고집하고 있으며 쌀이 주는 고유의 맛과 질감,그리고 색을 극대화 하였습니다.",전,포천일동막걸리,"경기도 포천시 일동면 운악청계로 1597, 2층",https://smartstore.naver.com/1932,,담은 블랙
탁주,"정제수,쌀(김포산),국,산도조절제,효모",10%  ,500ml,,,국내산 쌀과 전통 누룩 대신 맥주 효모를 사용해서 빚은 생 막걸리입니다.,,홀리워터,"서울특별시 성동구 성수일로4길 10 (평화기업사) 지하1층, 1층(성수동1가) (우 : 04780)",https://smartstore.naver.com/markholy,,마크홀리 핑크
탁주,"국내산 찹쌀, 국내산 누룩, 국내산 소맥분",12%  ,375ml,,,청명탁주는 일체의 첨가물 없이 찹쌀과 누룩으로만 만들었습니다. 기존의 청명주와 달리 구멍떡으로 밑술을 빚는데 다른 밑술에 비교하면 쉽지 않은 방법입니다. 발효와 숙성이 합쳐서 3개월이상이 소요됩니다.,"양념육, 돼지갈비 등이 잘 어울립니다.",중원당,충북 충주시 가금면 창동리 243,http://www.청명주.com/,,청명탁주
탁주,"정제수,참쌀(국내산),멥쌀(국내산),사과(국내산),고구마(국내산),오렌지(미국산),누룩(국내산)",10%  ,330ml,,,"선희10은 항아리에서 100일 동안 저온 발효 숙성하는 오렌지 ,충주 사과 막걸리입니다.","떡볶이,피자,양념치킨.",중원당,충주시 중앙탑면 탄금대로 626,http://www.xn--v42bo8x7wc.com/main/index.php,,선희 10
탁주,"정제수, 쌀(국내산), 국, 효모 (밀함유)",6%  ,500ml,,,단맛을 위한 인공감미료 첨가 대신 막걸리를 장기숙성시켜 쌀의 단맛과 향긋한 과일향으로 딸딸함을 최대한 끌어냈습니다.,"전,양식,치킨,피자,건어물,떡볶이 등",봄내양조장,강원특별자치도 춘천시 퇴계동 906-3,https://smartstore.naver.com/bomnaeyangjo,,힙걸리
탁주,"쌀(선산찹쌀100%),누룩(국내산),효모,정제수",8%  ,750ml,,,선산 스위트는 쌀에서 나오는 당분과 산미에 초점을 맞춘 우리술입니다. 일반 막걸리와 달리 높은 농도의 진한 쌀맛을 느끼실 수 있습니다.,"매콤한 찜요리 ,다양함 전요리 .",선산주조,경상북도 구미시 봉곡동로2길 13-1 101호 선산주조 (우 : 39206),https://smartstore.naver.com/theseonsan,,선산 스위트
"약주, 청주","쌀(고흥산), 입국(쌀), 누룩, 정제효소, 효모, 정제수, 유자(고흥산), 원당",8%  ,500ml,,,"고흥 유자주, 일명 고유 08은 100% 고흥 유자와 고흥 쌀로 술을 빚어 곡물의 고소함과 유자의 새콤달콤한 향을 느낄 수 있습니다.",,녹동양조장,전라남도 고흥군 도양읍 목넘가는길 52-5 (일반공장) (우 : 59557),https://smartstore.naver.com/eotteonharu,,고흥유자 08
증류주,"쌀, 죽력, 누룩, 정제수",32%  ,700ml,,,"대나무를 토막 내 불을 지펴 흘러내리는 대나무즙‘죽력’에 대잎, 석창포, 계심 등을 넣고 소주를 내려 증류시킨 술입니다.","해산물,전골",태인양조장,전라북도 정읍시 태인면 태흥리 392-1,http://www.xn--og5bv8a5dl6a612a.com/,,죽력고
증류주,"단수수증류원액, 복분자과즙, 정제수",24%/40%  ,360ml,,,"높은 도수와 반대로 목 넘김이 부드러웁니다. 또한, 색소를 사용하지 않고 복분자 원료가 들어가 선명한 붉은색을 띄며 복분자 향이 은은하게 납니다.","장어구이,구절판",착한농부,경상북도 예천군 용문면 복천길 16-8,http://www.macatto.co.kr/,,만월 24/40
증류주,"정제수, 사과증류원액, 사과농축액, 사과향",22%  ,375ml,,,100% 국산 사과 약 7개를 저온에서 진공상태로 증류하여 소주의 쓴 맛은 없애고 사과의 은은한 단맛과 향만 남은 증류주입니다.,"물회,대하구이,오징어 초무침",댄싱사이더,충청북도 충주시 중앙탑면 인담길 35-1 댄싱사이더 컴퍼니 (우 : 27447),https://smartstore.naver.com/dancingcider,,댄싱22
